Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Preferred_dividend,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2015-08-18,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.02,11.24,-0.22,False
2015-08-19,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.54,11.02,-0.48,False
2015-08-20,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.26,10.54,-0.28,False
2015-08-21,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.1,10.26,-0.16,False
2015-08-22,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.1,10.1,0.0,False
2015-08-23,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.1,10.1,0.0,False
2015-08-24,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.29,10.1,-0.81,False
2015-08-25,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.95,9.29,0.66,True
2015-08-26,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.16,9.95,0.21,True
2015-08-27,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.42,10.16,0.26,True
2015-08-28,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.1,10.42,-0.32,False
2015-08-29,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.1,10.1,0.0,False
2015-08-30,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.1,10.1,0.0,False
