Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2015-10-07,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.89,0.88,0.01,True
2015-10-08,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.87,0.89,-0.02,False
2015-10-09,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.88,0.87,0.01,True
2015-10-10,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.88,0.88,0.0,False
2015-10-11,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.88,0.88,0.0,False
2015-10-12,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.88,0.88,0.0,False
2015-10-13,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.88,0.03,True
2015-10-14,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.93,0.91,0.02,True
2015-10-15,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.93,0.93,0.0,False
2015-10-16,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.97,0.93,0.04,True
2015-10-17,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.97,0.97,0.0,False
2015-10-18,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.97,0.97,0.0,False
2015-10-19,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.96,0.97,-0.01,False
2015-10-20,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.95,0.96,-0.01,False
2015-10-21,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.95,0.95,0.0,False
2015-10-22,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.95,-0.04,False
2015-10-23,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.91,0.0,False
2015-10-24,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.91,0.0,False
2015-10-25,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.91,0.0,False
2015-10-26,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.93,0.91,0.02,True
2015-10-27,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.93,-0.03,False
2015-10-28,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-10-29,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.92,0.9,0.02,True
2015-10-30,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.99,0.92,0.07,True
2015-10-31,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.99,0.99,0.0,False
2015-11-01,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.99,0.99,0.0,False
2015-11-02,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.93,0.99,-0.06,False
2015-11-03,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.05,0.93,0.12,True
2015-11-04,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.09,1.05,0.04,True
2015-11-05,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.11,1.09,0.02,True
2015-11-06,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.14,1.11,0.03,True
2015-11-07,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.14,1.14,0.0,False
2015-11-08,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.14,1.14,0.0,False
2015-11-09,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.15,1.14,0.01,True
2015-11-10,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.18,1.15,0.03,True
2015-11-11,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.19,1.18,0.01,True
2015-11-12,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.19,1.19,0.0,False
2015-11-13,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.2,1.19,0.01,True
2015-11-14,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.2,1.2,0.0,False
2015-11-15,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.2,1.2,0.0,False
2015-11-16,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.2,1.2,0.0,False
2015-11-17,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.24,1.2,0.04,True
2015-11-18,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.26,1.24,0.02,True
2015-11-19,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.28,1.26,0.02,True
2015-11-20,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.27,1.28,-0.01,False
