Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Research_and_development,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-10-20,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.39,1.39,0.0,False
2013-10-21,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.39,-0.01,False
2013-10-22,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.39,1.38,0.01,True
2013-10-23,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.39,0.01,True
2013-10-24,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.42,1.4,0.02,True
2013-10-25,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.43,1.42,0.01,True
2013-10-26,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.43,1.43,0.0,False
2013-10-27,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.43,1.43,0.0,False
2013-10-28,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.52,1.43,0.09,True
2013-10-29,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.46,1.52,-0.06,False
2013-10-30,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.46,-0.08,False
2013-10-31,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.39,1.38,0.01,True
2013-11-01,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.44,1.39,0.05,True
2013-11-02,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.44,1.44,0.0,False
2013-11-03,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.44,1.44,0.0,False
2013-11-04,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.42,1.44,-0.02,False
2013-11-05,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.41,1.42,-0.01,False
2013-11-06,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.41,-0.01,False
2013-11-07,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.45,1.4,0.05,True
2013-11-08,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.47,1.45,0.02,True
2013-11-09,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.47,1.47,0.0,False
