,Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,time,senti_score_exp,Senti_headline,Predict_RF
106,2013-04-01,0,68,89,41,107,0.740818221,1,0
107,2013-05-01,0,75,93,38,108,1.133148453,3,0
108,2013-06-01,0,79,99,37,109,1.248848869,0,0
109,2013-07-01,0,82,96,34,110,1.349858808,1,0
110,2013-08-01,0,100,91,33,111,0.670320046,2,0
111,2013-09-01,0,84,82,42,112,0.548811636,0,0
112,2013-10-01,0,80,78,42,113,0.670320046,6,0
113,2013-11-01,0,82,78,41,114,1.0,2,0
114,2013-12-01,0,83,79,34,115,1.221402758,5,0
115,2014-01-01,0,84,71,38,116,1.105170918,3,0
116,2014-02-01,0,93,69,41,117,1.105170918,5,0
117,2014-03-01,0,95,70,41,118,1.221402758,3,0
118,2014-04-01,0,91,72,39,119,0.740818221,3,0
119,2014-05-01,0,94,74,38,120,1.105170918,3,0
120,2014-06-01,0,27,75,36,121,0.740818221,3,0
121,2014-07-01,0,21,73,33,122,1.491824698,1,0
122,2014-08-01,0,20,68,34,123,1.105170918,3,0
123,2014-09-01,0,19,62,42,124,1.221402758,3,0
124,2014-10-01,0,18,62,41,125,0.904837418,1,0
125,2014-11-01,0,18,58,42,126,1.105170918,2,0
126,2014-12-01,0,20,60,34,127,1.8221188,5,0
127,2015-01-01,0,16,57,37,128,1.105170918,3,0
128,2015-02-01,0,16,55,41,129,1.0,1,0
129,2015-03-01,0,17,58,41,130,1.221402758,6,0
130,2015-04-01,0,17,61,39,131,1.8221188,4,0
131,2015-05-01,0,18,60,37,132,1.105170918,3,0
132,2015-06-01,0,18,65,36,133,1.105170918,4,0
133,2015-07-01,0,19,60,32,134,0.670320046,4,0
134,2015-08-01,0,20,57,33,135,1.349858808,6,0
135,2015-09-01,0,21,54,40,136,1.0,6,0
136,2015-10-01,1,21,55,40,137,1.105170918,4,0
137,2015-11-01,2,22,54,39,138,1.105170918,1,0
138,2015-12-01,2,23,56,33,139,1.349858808,2,0
139,2016-01-01,0,12,50,38,140,0.670320046,4,0
140,2016-02-01,0,13,48,42,141,1.349858808,3,0
141,2016-03-01,0,13,50,40,142,1.105170918,4,0
142,2016-04-01,1,13,49,40,143,1.491824698,4,0
143,2016-05-01,1,14,51,38,144,1.221402758,4,0
